NFR,Sector,Table,Type,Technology,Fuel,Abatement,Region,Pollutant,Value,Unit,CI_lower,CI_upper,Reference
1.A.4.b.i,Residential plants,Table_3-14,Tier 2 emission factor,Stoves,Solid Fuel (not biomass),,NA,TSP,500,g/GJ,240,600,Guidebook (2006) chapter B216
1.A.4.b.i,Residential plants,Table_3-14,Tier 2 emission factor,Stoves,Solid Fuel (not biomass),,NA,SOx,900,g/GJ,540,1000,Guidebook (2006) chapter B216
1.A.4.b.i,Residential plants,Table_3-39,Tier 2 emission factor,Open fireplaces,Wood,,NA,PM2.5,820,g/GJ,410,1640,Alves et al. (2011)
1.A.4.b.i,Residential plants,Table_3-39,Tier 2 emission factor,Open fireplaces,Wood,,NA,NMVOC,600,g/GJ,20,3000,Pettersson et al. (2011); McDonald et al. (2000) 
1.A.4.b.i,Residential plants,Table_3-39,Tier 2 emission factor,Open fireplaces,Wood,,NA,Cu,6,mg/GJ,4,89,Hedberg et al. (2002); Tissari et al. (2007); Struschka et al. (2008); Lamberg et al. (2011)
1.A.4.b.i,Residential plants,Table_3-39,Tier 2 emission factor,Open fireplaces,Wood,,NA,Zn,512,mg/GJ,80,1300,Hedberg et al. (2002); Tissari et al. (2007); Struschka et al. (2008); Lamberg et al. (2011)
1.A.4.b.i,Residential plants,Table_3-15,Tier 2 emission factor,"Small (single household scale, capacity <=50 kWth) boilers",Solid Fuel (not biomass),,NA,NOx,158,g/GJ,80,300,US EPA (1998)
1.A.4.b.i,Residential plants,Table_3-15,Tier 2 emission factor,"Small (single household scale, capacity <=50 kWth) boilers",Solid Fuel (not biomass),,NA,Hg,6,mg/GJ,3,7.2,Guidebook (2006) chapter B216
1.A.4.b.i,Residential plants,Table_3-15,Tier 2 emission factor,"Small (single household scale, capacity <=50 kWth) boilers",Solid Fuel (not biomass),,NA,Cd,3,mg/GJ,0.6,3.6,Guidebook (2006) chapter B216
1.A.4.b.i,Residential plants,Table_3-15,Tier 2 emission factor,"Small (single household scale, capacity <=50 kWth) boilers",Solid Fuel (not biomass),,NA,PM2.5,201,g/GJ,100,300,Tivari et al. (2012)
1.A.4.b.i,Residential plants,Table_3-14,Tier 2 emission factor,Stoves,Solid Fuel (not biomass),,NA,Benzo(a)pyrene,250,mg/GJ,150,324,Guidebook (2006) chapter B216
1.A.4.b.i,Residential plants,Table_3-14,Tier 2 emission factor,Stoves,Solid Fuel (not biomass),,NA,HCB,0.62,µg/GJ,0.31,1.2,Guidebook (2006) chapter B216
1.A.4.b.i,Residential plants,Table_3-14,Tier 2 emission factor,Stoves,Solid Fuel (not biomass),,NA,PCB,170,µg/GJ,85,260,Kakareka et al. (2004)
1.A.4.b.i,Residential plants,Table_3-19,Tier 2 emission factor,Advanced coal combustion techniques <1MWth - Advanced stove,Coal Fuels,,NA,PM10,240,g/GJ,76,250,Guidebook (2006) chapter B216
1.A.4.b.i,Residential plants,Table_3-19,Tier 2 emission factor,Advanced coal combustion techniques <1MWth - Advanced stove,Coal Fuels,,NA,Benzo(k)fluoranthene,100,mg/GJ,8,150,Guidebook (2006) chapter B216
1.A.4.b.i,Residential plants,Table_3-19,Tier 2 emission factor,Advanced coal combustion techniques <1MWth - Advanced stove,Coal Fuels,,NA,Se,2,mg/GJ,1,2.4,Guidebook (2006) chapter B216
1.A.4.b.i,Residential plants,Table_3-19,Tier 2 emission factor,Advanced coal combustion techniques <1MWth - Advanced stove,Coal Fuels,,NA,PCB,170,µg/GJ,85,260,Kakareka et al. (2004)
1.A.4.b.i,Residential plants,Table_3-19,Tier 2 emission factor,Advanced coal combustion techniques <1MWth - Advanced stove,Coal Fuels,,NA,NMVOC,300,g/GJ,20,400,Guidebook (2006) chapter B216
1.A.4.b.i,Residential plants,Table_3-42,Tier 2 emission factor,Advanced / ecolabelled stoves and boilers,Wood,,NA,As,0.19,mg/GJ,0.05,12,Struschka et al. (2008)
1.A.4.b.i,Residential plants,Table_3-42,Tier 2 emission factor,Advanced / ecolabelled stoves and boilers,Wood,,NA,PCDD/F,100,ng I-TEQ/GJ,30,500,Hedman et al. (2006) 
1.A.4.b.i,Residential plants,Table_3-41,Tier 2 emission factor,Energy efficient stoves,Wood,,NA,"Indeno(1,2,3-cd)pyrene",71,mg/GJ,7,710,Goncalves et al. (2012); Tissari et al. (2007); Hedberg et al. (2002); Pettersson et al. (2011); Glasius et al. (2005); Paulrud et al. (2006); Johansson et al. (2003); Lamberg et al. (2011) 
1.A.4.b.i,Residential plants,Table_3-41,Tier 2 emission factor,Energy efficient stoves,Wood,,NA,HCB,5,µg/GJ,0.1,30,Syc et al. (2011)
1.A.4.b.i,Residential plants,Table_3-41,Tier 2 emission factor,Energy efficient stoves,Wood,,NA,PCB,0.03,µg/GJ,0.003,0.3,Hedman et al. (2006) 
1.A.4.b.i,Residential plants,Table_3-41,Tier 2 emission factor,Energy efficient stoves,Wood,,NA,CO,4000,g/GJ,500,10000,Johansson et al. (2003) 
1.A.4.b.i,Residential plants,Table_3-17,Tier 2 emission factor,Stoves,Gas Oil,,NA,Pb,0.012,mg/GJ,0.006,0.024,Pulles et al. (2012)
1.A.4.b.i,Residential plants,Table_3-17,Tier 2 emission factor,Stoves,Gas Oil,,NA,NOx,34,g/GJ,20,48,UBA (2008)
1.A.4.b.i,Residential plants,Table_3-16,Tier 2 emission factor,"Small (single household scale, capacity <=50 kWth) boilers",Natural Gas,,NA,"Indeno(1,2,3-cd)pyrene",0.84,µg/GJ,0.28,0.84,US EPA (1998)
1.A.4.b.i,Residential plants,Table_3-17,Tier 2 emission factor,Stoves,Gas Oil,,NA,Hg,0.12,mg/GJ,0.03,0.12,Pulles et al. (2012)
1.A.4.b.i,Residential plants,Table_3-16,Tier 2 emission factor,"Small (single household scale, capacity <=50 kWth) boilers",Natural Gas,,NA,Cu,0.000076,mg/GJ,0.000038,0.00015,Nielsen et al. (2013)
1.A.4.b.i,Residential plants,Table_3-16,Tier 2 emission factor,"Small (single household scale, capacity <=50 kWth) boilers",Natural Gas,,NA,PCDD/F,1.5,ng I-TEQ/GJ,0.8,2.3,UNEP (2005)
1.A.4.b.i,Residential plants,Table_3-16,Tier 2 emission factor,"Small (single household scale, capacity <=50 kWth) boilers",Natural Gas,,NA,Zn,0.0015,mg/GJ,0.0018,0.003,Nielsen et al. (2013)
1.A.4.b.i,Residential plants,Table_3-41,Tier 2 emission factor,Energy efficient stoves,Wood,,NA,TSP,400,g/GJ,200,800,Glasius et al. (2005)
1.A.4.b.i,Residential plants,Table_3-18,Tier 2 emission factor,"Small (single household scale, capacity <=50 kWth) boilers",Gas Oil,,NA,As,0.002,mg/GJ,0.0005,0.002,Pulles et al. (2012)
1.A.4.b.i,Residential plants,Table_3-16,Tier 2 emission factor,"Small (single household scale, capacity <=50 kWth) boilers",Natural Gas,,NA,As,0.12,mg/GJ,0.06,0.24,Nielsen et al. (2013)
1.A.4.b.i,Residential plants,Table_3-17,Tier 2 emission factor,Stoves,Gas Oil,,NA,PCDD/F,10,ng I-TEQ/GJ,2,50,UNEP (2005
1.A.4.b.i,Residential plants,Table_3-17,Tier 2 emission factor,Stoves,Gas Oil,,NA,Benzo(a)pyrene,80,µg/GJ,16,120,Berdowski et al. (1995)
1.A.4.b.i,Residential plants,Table_3-17,Tier 2 emission factor,Stoves,Gas Oil,,NA,Ni,0.005,mg/GJ,0.0025,0.01,Pulles et al. (2012)
1.A.4.b.i,Residential plants,Table_3-17,Tier 2 emission factor,Stoves,Gas Oil,,NA,Cu,0.13,mg/GJ,0.065,0.26,Pulles et al. (2012)
1.A.4.b.i,Residential plants,Table_3-18,Tier 2 emission factor,"Small (single household scale, capacity <=50 kWth) boilers",Gas Oil,,NA,TSP,1.5,g/GJ,1,2,Italian Ministry for the Environment (2005)
1.A.4.b.i,Residential plants,Table_3-18,Tier 2 emission factor,"Small (single household scale, capacity <=50 kWth) boilers",Gas Oil,,NA,NMVOC,0.17,g/GJ,0.06,0.51,Italian Ministry for the Environment (2005)
1.A.4.b.i,Residential plants,Table_3-17,Tier 2 emission factor,Stoves,Gas Oil,,NA,Benzo(b)fluoranthene,40,µg/GJ,8,60,Berdowski et al. (1995)
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_26,Tier 2 emission factor,Stage IV,Diesel,,NA,CO,6019,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_26,Tier 2 emission factor,Stage IV,Diesel,,NA,NOx,1570,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_25,Tier 2 emission factor,Stage IIIB,Diesel,,NA,NOx,11933,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_27,Tier 2 emission factor,Stage V,Diesel,,NA,BC,56,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_25,Tier 2 emission factor,Stage IIIB,Diesel,,NA,NH3,8,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_24,Tier 2 emission factor,Stage IIIA,Diesel,,NA,CO,6826,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_27,Tier 2 emission factor,Stage V,Diesel,,NA,N2O,136,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_23,Tier 2 emission factor,Stage II,Diesel,,NA,NMVOC,1587,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_24,Tier 2 emission factor,Stage IIIA,Diesel,,NA,NMVOC,1470,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_25,Tier 2 emission factor,Stage IIIB,Diesel,,NA,CH4,15,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_25,Tier 2 emission factor,Stage IIIB,Diesel,,NA,CO2,3160,kg/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_24,Tier 2 emission factor,Stage IIIA,Diesel,,NA,BC,758,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_30,Tier 2 emission factor,1991-Stage I,Gasoline: two-stroke,,NA,BC,193,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_29,Tier 2 emission factor,1981-1990,Gasoline: two-stroke,,NA,TSP,4786,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_30,Tier 2 emission factor,1991-Stage I,Gasoline: two-stroke,,NA,PM2.5,3869,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_31,Tier 2 emission factor,Stage I,Gasoline: two-stroke,,NA,CO2,3197,kg/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_31,Tier 2 emission factor,Stage I,Gasoline: two-stroke,,NA,NH3,4,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_29,Tier 2 emission factor,1981-1990,Gasoline: two-stroke,,NA,NOx,1682,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_28,Tier 2 emission factor,< 1981,Gasoline: two-stroke,,NA,PM10,7037,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_28,Tier 2 emission factor,< 1981,Gasoline: two-stroke,,NA,PM2.5,7037,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-1_06,Tier 1 emission factor,NA,Gasoline: four-stroke,,NA,PM2.5,157,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-1_07,Tier 1 emission factor,NA,Gasoline: two-stroke,,NA,N2O,17,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-1_08,Tier 1 emission factor,NA,Gasoline,,NA,Ni,0.07,mg/kg fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-1_08,Tier 1 emission factor,NA,Gasoline,,NA,Se,0.01,mg/kg fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-1_07,Tier 1 emission factor,NA,Gasoline: two-stroke,,NA,CO2,3197,kg/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_31,Tier 2 emission factor,Stage I,Gasoline: two-stroke,,NA,NOx,3445,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-1_06,Tier 1 emission factor,NA,Gasoline: four-stroke,,NA,CO,770368,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-1_05,Tier 1 emission factor,NA,LPG,,NA,CO2,2990,kg/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-1_05,Tier 1 emission factor,NA,LPG,,NA,PM2.5,225,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-1_05,Tier 1 emission factor,NA,LPG,,NA,TSP,225,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_21,Tier 2 emission factor,1991-Stage I,Diesel,,NA,CO,16258,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_21,Tier 2 emission factor,1991-Stage I,Diesel,,NA,NH3,8,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_21,Tier 2 emission factor,1991-Stage I,Diesel,,NA,NOx,43552,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_22,Tier 2 emission factor,Stage I,Diesel,,NA,BC,800,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_22,Tier 2 emission factor,Stage I,Diesel,,NA,CO,6639,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_19,Tier 2 emission factor,< 1981,Diesel,,NA,CH4,199,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_19,Tier 2 emission factor,< 1981,Diesel,,NA,CO2,3160,kg/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_20,Tier 2 emission factor,1981-1990,Diesel,,NA,CO2,3160,kg/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_20,Tier 2 emission factor,1981-1990,Diesel,,NA,N2O,128,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_41,Tier 2 emission factor,Stage II,Gasoline: four-stroke,,NA,BC,8,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_39,Tier 2 emission factor,1991-Stage I,Gasoline: four-stroke,,NA,CH4,672,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_39,Tier 2 emission factor,1991-Stage I,Gasoline: four-stroke,,NA,NH3,4,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_39,Tier 2 emission factor,1991-Stage I,Gasoline: four-stroke,,NA,NMVOC,19082,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_40,Tier 2 emission factor,Stage I,Gasoline: four-stroke,,NA,PM10,159,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_40,Tier 2 emission factor,Stage I,Gasoline: four-stroke,,NA,CO2,3197,kg/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_44,Tier 2 emission factor,Stage IV,Gasoline: four-stroke,,NA,NOx,,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_44,Tier 2 emission factor,Stage IV,Gasoline: four-stroke,,NA,PM2.5,,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_45,Tier 2 emission factor,Stage V,Gasoline: four-stroke,,NA,CO2,3197,kg/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_44,Tier 2 emission factor,Stage IV,Gasoline: four-stroke,,NA,N2O,,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_43,Tier 2 emission factor,Stage IIIB,Gasoline: four-stroke,,NA,CO,,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_34,Tier 2 emission factor,Stage IIIB,Gasoline: two-stroke,,NA,NH3,,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_34,Tier 2 emission factor,Stage IIIB,Gasoline: two-stroke,,NA,BC,,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_34,Tier 2 emission factor,Stage IIIB,Gasoline: two-stroke,,NA,CO,,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_35,Tier 2 emission factor,Stage IV,Gasoline: two-stroke,,NA,CO,,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_34,Tier 2 emission factor,Stage IIIB,Gasoline: two-stroke,,NA,NOx,,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_33,Tier 2 emission factor,Stage IIIA,Gasoline: two-stroke,,NA,NMVOC,,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_32,Tier 2 emission factor,Stage II,Gasoline: two-stroke,,NA,NMVOC,113157,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_32,Tier 2 emission factor,Stage II,Gasoline: two-stroke,,NA,NOx,2495,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_33,Tier 2 emission factor,Stage IIIA,Gasoline: two-stroke,,NA,CO,,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_32,Tier 2 emission factor,Stage II,Gasoline: two-stroke,,NA,TSP,4299,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_38,Tier 2 emission factor,1981-1990,Gasoline: four-stroke,,NA,CO,836966,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_37,Tier 2 emission factor,< 1981,Gasoline: four-stroke,,NA,TSP,148,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_38,Tier 2 emission factor,1981-1990,Gasoline: four-stroke,,NA,N2O,55,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_36,Tier 2 emission factor,Stage V,Gasoline: two-stroke,,NA,PM10,4278,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_36,Tier 2 emission factor,Stage V,Gasoline: two-stroke,,NA,CO2,3197,kg/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_36,Tier 2 emission factor,Stage V,Gasoline: two-stroke,,NA,NOx,2490,g/tonnes fuel,,,Winther 2016
1.A.4.b.ii,Household and gardening (mobile),Table_3-2_36,Tier 2 emission factor,Stage V,Gasoline: two-stroke,,NA,NMVOC,111450,g/tonnes fuel,,,Winther 2016
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-7,Tier 1 emission factor,NA,Hard Coal and Brown Coal,,NA,Benzo(k)fluoranthene,23.7,mg/GJ,8,100,Guidebook (2006) chapter B216
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-7,Tier 1 emission factor,NA,Hard Coal and Brown Coal,,NA,Cr,13.5,mg/GJ,0.5,20,Guidebook (2006) chapter B216
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-7,Tier 1 emission factor,NA,Hard Coal and Brown Coal,,NA,Cu,17.5,mg/GJ,5,50,Guidebook (2006) chapter B216
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-7,Tier 1 emission factor,NA,Hard Coal and Brown Coal,,NA,BC,6.4,% of PM2.5,2,26,See note in Guidebook chapter
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-8,Tier 1 emission factor,NA,Gaseous Fuels,,NA,Benzo(b)fluoranthene,2.9,µg/GJ,0.7,12,Average of Tier 2 EFs for commercial/institutional gaseous fuel combustion for all technologies
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-7,Tier 1 emission factor,NA,Hard Coal and Brown Coal,,NA,Cd,1.8,mg/GJ,0.2,5,Guidebook (2006) chapter B216
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-9,Tier 1 emission factor,NA,Liquid Fuels,,NA,PM10,21,g/GJ,0.75,80,Average of Tier 2 EFs for commercial/institutional liquid fuel combustion for all technologies
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-30,Tier 2 emission factor,Stationary reciprocating engines,Natural Gas,,NA,NMVOC,89,g/GJ,53,125,Nielsen et al. (2010)
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-31,Tier 2 emission factor,Reciprocating Engines,Gas Oil,,NA,PCDD/F,0.99,ng I-TEQ/GJ,0.2,5,Nielsen et al. (2010)
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-9,Tier 1 emission factor,NA,Liquid Fuels,,NA,SOx,94,g/GJ,28,140,Average of Tier 2 EFs for commercial/institutional liquid fuel combustion for all technologies
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-9,Tier 1 emission factor,NA,Liquid Fuels,,NA,CO,93,g/GJ,24,200,Average of Tier 2 EFs for commercial/institutional liquid fuel combustion for all technologies
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-8,Tier 1 emission factor,NA,Gaseous Fuels,,NA,"Indeno(1,2,3-cd)pyrene",1.08,µg/GJ,0.3,2.9,Average of Tier 2 EFs for commercial/institutional gaseous fuel combustion for all technologies
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-8,Tier 1 emission factor,NA,Gaseous Fuels,,NA,As,0.1,mg/GJ,0.05,0.19,Average of Tier 2 EFs for commercial/institutional gaseous fuel combustion for all technologies
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-8,Tier 1 emission factor,NA,Gaseous Fuels,,NA,NMVOC,23,g/GJ,14,33,Average of Tier 2 EFs for commercial/institutional gaseous fuel combustion for all technologies
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-29,Tier 2 emission factor,Gas Turbines,Gas Oil,,NA,Pb,0.012,mg/GJ,0.006,0.024,Pulles et al. (2012)
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-29,Tier 2 emission factor,Gas Turbines,Gas Oil,,NA,PM10,9.5,g/GJ,6,13,**
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-29,Tier 2 emission factor,Gas Turbines,Gas Oil,,NA,TSP,9.5,g/GJ,6,13,Nielsen et al. (2010)
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-29,Tier 2 emission factor,Gas Turbines,Gas Oil,,NA,SOx,46,g/GJ,28,65,*
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-29,Tier 2 emission factor,Gas Turbines,Gas Oil,,NA,NMVOC,0.18,g/GJ,0.018,1.8,US EPA (2000)
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-9,Tier 1 emission factor,NA,Liquid Fuels,,NA,PM2.5,18,g/GJ,0.75,60,Average of Tier 2 EFs for commercial/institutional liquid fuel combustion for all technologies
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-45,Tier 2 emission factor,Wood combustion >1MW – Boilers,Wood,,NA,BC,15,% of PM2.5,6,39,Schmidl et al. (2011)
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-31,Tier 2 emission factor,Reciprocating Engines,Gas Oil,,NA,Benzo(a)pyrene,1.9,µg/GJ,0.19,1.9,Nielsen et al. (2010)
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-31,Tier 2 emission factor,Reciprocating Engines,Gas Oil,,NA,Cr,0.2,mg/GJ,0.1,0.4,Nielsen et al. (2010)
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-31,Tier 2 emission factor,Reciprocating Engines,Gas Oil,,NA,Hg,0.11,mg/GJ,0.055,0.22,Nielsen et al. (2010)
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-31,Tier 2 emission factor,Reciprocating Engines,Gas Oil,,NA,NOx,942,g/GJ,565,1319,Nielsen et al. (2010)
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-30,Tier 2 emission factor,Stationary reciprocating engines,Natural Gas,,NA,"Indeno(1,2,3-cd)pyrene",1.8,µg/GJ,0.36,9,Nielsen et al. (2010)
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-30,Tier 2 emission factor,Stationary reciprocating engines,Natural Gas,,NA,Benzo(b)fluoranthene,9,µg/GJ,1.8,45,Nielsen et al. (2010)
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-30,Tier 2 emission factor,Stationary reciprocating engines,Natural Gas,,NA,Zn,2.9,mg/GJ,1.5,5.8,Nielsen et al. (2010)
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-30,Tier 2 emission factor,Stationary reciprocating engines,Natural Gas,,NA,Se,0.2,mg/GJ,0.05,0.2,Nielsen et al. (2010)
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-45,Tier 2 emission factor,Wood combustion >1MW – Boilers,Wood,,NA,Cd,13,mg/GJ,0.5,87,Hedberg et al. (2002); Struschka et al. (2008); Lamberg et al. (2011)
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-25,Tier 2 emission factor,Fuel oil (Distillate fuel oil) combustion in boilers > 1MW,Fuel oil (Residual fuel oil),,NA,Cu,3,mg/GJ,0.75,6,Guidebook (2006) chapter B216
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-49_07,Tier 2 emission factor,Non-residential - Medium sized (1-50 kW) boilers,Wood,,NA,PM10,34,g/GJ,,,"Johansson et al. (2004), for BC Denier van der Gon et al. (2015) applied on Schmidl et al. (2011)"
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-49_10,Tier 2 emission factor,"Non-residential - Manual boilers (<1MW), automatic feed",Wood,,NA,TSP,36,g/GJ,,,"Johansson et al. (2004), for BC Denier van der Gon et al. (2015) applied on Schmidl et al. (2011)"
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-49_09,Tier 2 emission factor,"Non-residential - Manual boilers (<1MW), manual feed",Wood,,NA,BC,32,% of PM2.5,,,"Naturvårdsverket, Sweden, for BC Denier van der Gon et al. (2015) applied on Goncalves et al. (2010), Fernandes et al. (2011), Schmidl et al. (2011)"
1.A.4.c.i,Agriculture / forestry / fishing: Stationary,Table_3-49_09,Tier 2 emission factor,"Non-residential - Manual boilers (<1MW), manual feed",Wood,,NA,PM2.5,140,g/GJ,,,"Naturvårdsverket, Sweden, for BC Denier van der Gon et al. (2015) applied on Goncalves et al. (2010), Fernandes et al. (2011), Schmidl et al. (2011)"
